structure(list(CpGmarker = c("(Intercept)", "cg00075967", "cg00374717", 
"cg00864867", "cg00945507", "cg01027739", "cg01353448", "cg01584473", 
    0.85, 0.091, 0.12, 0.2, 0.19, 0.5, 0.08, 0.16, 0.065, 0.038, 
    0.84, 0.045, 0.085, 0.25, 0.89, 0.68, 0.92, 0.069, 0.048, 
    0.25, 0.036, 0.43, 0.02, 0.039, 0.46, 0.072, 0.17, 0.59, 
    0.58, 0.6, 0.044, 0.049, 0.84, 0.15, 0.098, 0.69, 0.079, 
    0.065, 0.018, 0.076, 0.043, 0.44, 0.08, 0.059, 0.092, 0.41, 
    0.29, 0.088), medianByCpGYoung = c(NA, 0.72, 0.87, 0.045, 
    0.23, 0.067, 0.47, 0.83, 0.036, 0.68, 0.036, 0.051, 0.47, 
    0.046, 0.093, 0.02, 0.85, 0.18, 0.16, 0.023, 0.33, 0.85, 
    0.36, 0.054, 0.057, 0.48, 0.072, 0.82, 0.11, 0.052, 0.39, 
    0.086, 0.82, 0.077, 0.078, 0.23, 0.22, 0.33, 0.053, 0.83, 
    0.8, 0.89, 0.032, 0.22, 0.012, 0.056, 0.058, 0.036, 0.094, 
    0.12, 0.57, 0.063, 0.84, 0.035, 0.66, 0.22, 0.98, 0.44, 0.05, 
    0.9, 0.9, 0.062, 0.044, 0.047, 0.041, 0.16, 0.046, 0.63, 
    0.043, 0.02, 0.83, 0.034, 0.93, 0.031, 0.12, 0.9, 0.86, 0.078, 
    0.076, 0.052, 0.031, 0.18, 0.062, 0.12, 0.91, 0.069, 0.89, 
    0.049, 0.86, 0.15, 0.06, 0.057, 0.12, 0.42, 0.22, 0.85, 0.84, 
    0.12, 0.029, 0.053, 0.038, 0.69, 0.32, 0.067, 0.058, 0.03, 
    0.043, 0.84, 0.039, 0.38, 0.78, 0.013, 0.069, 0.48, 0.052, 
    0.1, 0.65, 0.04, 0.04, 0.27, 0.07, 0.06, 0.067, 0.13, 0.91, 
    0.12, 0.055, 0.86, 0.18, 0.042, 0.064, 0.042, 0.83, 0.88, 
    0.046, 0.052, 0.79, 0.39, 0.0086, 0.042, 0.028, 0.32, 0.073, 
    0.9, 0.83, 0.12, 0.053, 0.031, 0.14, 0.91, 0.062, 0.027, 
    0.15, 0.044, 0.28, 0.023, 0.23, 0.6, 0.091, 0.54, 0.59, 0.018, 
    0.11, 0.031, 0.13, 0.87, 0.8, 0.053, 0.25, 0.069, 0.9, 0.035, 
    0.058, 0.13, 0.03, 0.06, 0.023, 0.48, 0.057, 0.076, 0.049, 
    0.097, 0.054, 0.16, 0.36, 0.067, 0.078, 0.033, 0.043, 0.24, 
    0.057, 0.88, 0.064, 0.047, 0.7, 0.62, 0.31, 0.75, 0.068, 
    0.065, 0.096, 0.092, 0.81, 0.12, 0.17, 0.84, 0.47, 0.56, 
    0.011, 0.26, 0.076, 0.046, 0.77, 0.06, 0.4, 0.28, 0.47, 0.079, 
    0.043, 0.044, 0.048, 0.071, 0.9, 0.22, 0.15, 0.3, 0.7, 0.26, 
    0.12, 0.033, 0.1, 0.56, 0.15, 0.047, 0.034, 0.14, 0.034, 
    0.37, 0.56, 0.47, 0.11, 0.037, 0.39, 0.49, 0.07, 0.041, 0.47, 
    0.87, 0.044, 0.42, 0.058, 0.91, 0.65, 0.67, 0.21, 0.76, 0.14, 
    0.026, 0.13, 0.2, 0.44, 0.068, 0.032, 0.9, 0.083, 0.35, 0.041, 
    0.19, 0.15, 0.45, 0.28, 0.32, 0.067, 0.18, 0.22, 0.2, 0.05, 
    0.12, 0.34, 0.44, 0.44, 0.071, 0.031, 0.044, 0.063, 0.34, 
    0.47, 0.11, 0.12, 0.033, 0.055, 0.64, 0.19, 0.1, 0.19, 0.18, 
    0.1, 0.51, 0.14, 0.057, 0.52, 0.65, 0.082, 0.069, 0.1, 0.93, 
    0.87, 0.093, 0.16, 0.26, 0.26, 0.61, 0.081, 0.19, 0.067, 
    0.04, 0.85, 0.044, 0.086, 0.32, 0.9, 0.76, 0.94, 0.075, 0.046, 
    0.32, 0.037, 0.58, 0.02, 0.04, 0.53, 0.077, 0.22, 0.67, 0.61, 
    0.61, 0.043, 0.055, 0.85, 0.17, 0.1, 0.77, 0.08, 0.068, 0.02, 
    0.11, 0.043, 0.56, 0.077, 0.062, 0.11, 0.45, 0.29, 0.1), 
    medianByCpGOld = c(NA, 0.75, 0.9, 0.053, 0.25, 0.074, 0.57, 
    0.82, 0.044, 0.72, 0.037, 0.082, 0.5, 0.071, 0.091, 0.028, 
    0.84, 0.2, 0.21, 0.037, 0.52, 0.86, 0.41, 0.065, 0.055, 0.52, 
    0.089, 0.85, 0.12, 0.061, 0.46, 0.14, 0.84, 0.14, 0.1, 0.26, 
    0.25, 0.31, 0.12, 0.86, 0.83, 0.91, 0.039, 0.22, 0.032, 0.062, 
    0.15, 0.055, 0.1, 0.19, 0.63, 0.075, 0.81, 0.044, 0.72, 0.23, 
    0.99, 0.5, 0.074, 0.9, 0.92, 0.099, 0.044, 0.061, 0.042, 
    0.18, 0.063, 0.71, 0.052, 0.023, 0.86, 0.037, 0.93, 0.032, 
    0.14, 0.92, 0.87, 0.095, 0.14, 0.061, 0.034, 0.22, 0.14, 
    0.14, 0.91, 0.11, 0.88, 0.065, 0.86, 0.26, 0.076, 0.078, 
    0.14, 0.47, 0.26, 0.88, 0.83, 0.15, 0.035, 0.063, 0.038, 
    0.74, 0.37, 0.078, 0.059, 0.04, 0.05, 0.85, 0.049, 0.48, 
    0.78, 0.013, 0.078, 0.56, 0.057, 0.15, 0.65, 0.04, 0.041, 
    0.33, 0.12, 0.064, 0.065, 0.13, 0.92, 0.15, 0.089, 0.89, 
    0.2, 0.048, 0.086, 0.056, 0.85, 0.86, 0.053, 0.059, 0.81, 
    0.47, 0.0094, 0.047, 0.035, 0.42, 0.11, 0.91, 0.84, 0.14, 
    0.055, 0.033, 0.19, 0.92, 0.07, 0.069, 0.25, 0.046, 0.31, 
    0.026, 0.29, 0.6, 0.25, 0.65, 0.65, 0.018, 0.16, 0.031, 0.13, 
    0.89, 0.76, 0.054, 0.26, 0.059, 0.89, 0.038, 0.062, 0.21, 
    0.032, 0.1, 0.026, 0.54, 0.062, 0.085, 0.066, 0.12, 0.054, 
    0.28, 0.47, 0.076, 0.11, 0.07, 0.049, 0.4, 0.066, 0.88, 0.067, 
    0.05, 0.69, 0.56, 0.22, 0.7, 0.069, 0.053, 0.093, 0.07, 0.72, 
    0.13, 0.12, 0.75, 0.44, 0.34, 0.0093, 0.2, 0.06, 0.038, 0.74, 
    0.059, 0.29, 0.27, 0.46, 0.057, 0.04, 0.045, 0.043, 0.073, 
    0.91, 0.14, 0.15, 0.22, 0.67, 0.22, 0.075, 0.032, 0.1, 0.54, 
    0.1, 0.042, 0.034, 0.13, 0.033, 0.28, 0.43, 0.34, 0.099, 
    0.04, 0.3, 0.47, 0.067, 0.037, 0.33, 0.82, 0.041, 0.36, 0.062, 
    0.88, 0.45, 0.64, 0.16, 0.75, 0.1, 0.023, 0.12, 0.17, 0.35, 
    0.05, 0.033, 0.89, 0.086, 0.27, 0.039, 0.14, 0.095, 0.31, 
    0.25, 0.3, 0.05, 0.18, 0.18, 0.15, 0.048, 0.1, 0.3, 0.42, 
    0.43, 0.061, 0.028, 0.044, 0.06, 0.22, 0.46, 0.11, 0.12, 
    0.032, 0.049, 0.38, 0.15, 0.1, 0.15, 0.12, 0.11, 0.44, 0.13, 
    0.043, 0.5, 0.61, 0.081, 0.071, 0.063, 0.91, 0.82, 0.09, 
    0.1, 0.16, 0.16, 0.46, 0.08, 0.15, 0.063, 0.036, 0.83, 0.045, 
    0.084, 0.23, 0.9, 0.65, 0.9, 0.066, 0.05, 0.21, 0.035, 0.39, 
    0.018, 0.039, 0.4, 0.071, 0.15, 0.54, 0.56, 0.59, 0.041, 
    0.045, 0.84, 0.14, 0.1, 0.61, 0.079, 0.064, 0.016, 0.064, 
    0.042, 0.39, 0.08, 0.056, 0.09, 0.38, 0.3, 0.086), Gene_ID = c(NA, 
    64220L, 22901L, 5074L, 23480L, 57171L, 10842L, 140453L, 90233L, 
    220929L, 138241L, 65055L, 9322L, 27429L, 202559L, 21L, 733L, 
    115557L, 6422L, 284424L, 126402L, 3884L, 84267L, 56916L, 
    55818L, 132671L, 1525L, 780L, 57336L, 8111L, 239L, 7425L, 
    387695L, 136259L, 23348L, 7730L, 26085L, 4017L, 3749L, 10584L, 
    973L, 9575L, 80208L, 51268L, 899L, 51559L, 10590L, 124842L, 
    5732L, 57585L, 1463L, 54878L, 2889L, 83743L, 8416L, 4696L, 
    161931L, 5443L, 137872L, 6354L, 4249L, 7026L, 55635L, 9162L, 
    10409L, 4054L, 5592L, 9077L, 59335L, 5074L, 2826L, 7466L, 
    8909L, 1063L, 6910L, 7141L, 160065L, 2587L, 84236L, 57338L, 
    115650L, 3973L, 27439L, 284348L, 94274L, 10362L, 79568L, 
    27122L, 832L, 53820L, 55051L, 7082L, 8208L, 5143L, 95681L, 
    81696L, 163154L, 164781L, 60509L, 286032L, 11030L, 83394L, 
    3909L, 56063L, 1777L, 5796L, 221908L, 55195L, 51171L, 10675L, 
    29113L, 1052L, 8817L, 283212L, 4839L, 50507L, 2736L, 1890L, 
    55744L, 999L, 22981L, 9348L, 285489L, 23564L, 58529L, 7621L, 
    3747L, 2301L, 54859L, 51460L, 5155L, 64895L, 9153L, 7390L, 
    58191L, 148534L, 374407L, 126792L, 29799L, 10611L, 54859L, 
    8326L, 10518L, 4759L, 57214L, 2596L, 79966L, 9100L, 4162L, 
    26525L, 3214L, 60677L, 2848L, 57828L, 761L, 23191L, 6939L, 
    29886L, 378884L, 6160L, 9077L, 154791L, 347733L, 23613L, 
    56929L, 140850L, 8642L, 5983L, 25976L, 83593L, 283234L, 26051L, 
    6383L, 2891L, 10480L, 203190L, 11176L, 29105L, 25917L, 5347L, 
    284424L, 55806L, 90488L, 339488L, 638L, 23345L, 10365L, 51429L, 
    285598L, 646L, 219578L, 23370L, 22872L, 4058L, 54474L, 219770L, 
    4256L, 1571L, 51222L, 6484L, 257203L, 150275L, 6403L, 4302L, 
    6749L, 219793L, 26240L, 3902L, 54963L, 57617L, 6646L, 28990L, 
    51368L, 113201L, 80325L, 55323L, 8910L, 95L, 129450L, 114884L, 
    9925L, 57513L, 9469L, 133619L, 667L, 25864L, 113763L, 9127L, 
    201164L, 129880L, 10594L, 7117L, 7123L, 55226L, 89970L, 5563L, 
    7335L, 2395L, 4725L, 114770L, 8738L, 4883L, 221L, 286122L, 
    4330L, 54585L, 9351L, 83694L, 80148L, 10673L, 2905L, 10850L, 
    128178L, 1117L, 26027L, 153201L, 80069L, 8763L, 8677L, 79109L, 
    10000L, 130535L, 64978L, 165904L, 83850L, 10015L, 57534L, 
    219738L, 55267L, 4256L, 83638L, 4351L, 51678L, 113091L, 23527L, 
    10447L, 114926L, 5168L, 4154L, 2778L, 146434L, 329L, 51390L, 
    10440L, 255762L, 4217L, 57578L, 128240L, 2557L, 6256L, 51L, 
    5593L, 124093L, 55773L, 2078L, 83937L, 28232L, 6563L, 10040L, 
    54460L, 8910L, 25864L, 11244L, 64175L, 1296L, 3061L, 51237L, 
    123872L, 10526L, 29126L, 1453L, 3956L, 8883L, 84680L, 1870L, 
    157313L, 4607L, 51079L, 3572L, 5166L, 126205L, 79770L, 1L, 
    1181L, 221120L, 53630L, 4299L, 23492L, 2720L, 64756L, 2581L, 
    2053L, 9933L, 2242L, 6629L, 7704L, 10769L, 128989L, 9390L, 
    3836L, 23620L, 3674L, 3218L, 23219L, 60528L, 55267L, 54776L, 
    22937L, 23310L, 2739L, 255762L, 3270L, 164127L, 59271L), 
    GenomeBuild = c(NA, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 
    36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L, 36L), Chr = c(NA, 
    15L, 17L, 12L, 7L, 9L, 7L, 7L, 19L, 10L, 9L, 2L, 19L, 2L, 
    6L, 16L, 9L, 12L, 8L, 19L, 19L, 17L, 9L, 4L, 2L, 4L, 21L, 
    6L, 17L, 14L, 17L, 7L, 10L, 7L, 13L, 19L, 19L, 8L, 1L, 8L, 
    19L, 4L, 15L, 17L, 16L, 12L, 6L, 17L, 14L, 16L, 19L, 15L, 
    9L, 19L, 1L, 19L, 16L, 2L, 8L, 17L, 2L, 15L, 1L, 7L, 5L, 
    11L, 10L, 1L, 9L, 12L, 17L, 4L, 12L, 1L, 12L, 2L, 11L, 18L, 
    2L, 16L, 22L, 2L, 22L, 19L, 19L, 19L, 2L, 11L, 1L, 21L, 14L, 
    15L, 21L, 19L, 7L, 6L, 19L, 2L, 2L, 8L, 8L, 17L, 18L, 1L, 
    19L, 6L, 7L, 14L, 19L, 3L, 6L, 8L, 5L, 11L, 12L, 11L, 2L, 
    22L, 7L, 16L, 20L, 4L, 4L, 6L, 10L, 22L, 12L, 1L, 3L, 3L, 
    22L, 2L, 15L, 10L, 17L, 1L, 11L, 1L, 22L, 4L, 3L, 7L, 15L, 
    2L, 15L, 3L, 4L, 16L, 11L, 2L, 17L, 15L, 1L, 19L, 8L, 15L, 
    20L, 7L, 6L, 2L, 1L, 7L, 6L, 20L, 5L, 20L, 11L, 13L, 3L, 
    1L, 11L, 20L, 8L, 4L, 11L, 8L, 12L, 16L, 3L, 16L, 19L, 8L, 
    12L, 1L, 22L, 6L, 19L, 6L, 5L, 15L, 7L, 19L, 4L, 15L, 17L, 
    10L, 12L, 10L, 14L, 11L, 21L, 22L, 1L, 17L, 11L, 10L, 6L, 
    12L, 20L, 15L, 1L, 3L, 3L, 15L, 3L, 15L, 7L, 3L, 2L, 3L, 
    9L, 17L, 10L, 5L, 6L, 3L, 7L, 22L, 17L, 2L, 17L, 4L, 3L, 
    11L, 16L, 1L, 20L, 9L, 1L, 19L, 12L, 5L, 11L, 8L, 22L, 3L, 
    16L, 14L, 18L, 13L, 17L, 9L, 1L, 1L, 1L, 5L, 6L, 6L, 19L, 
    9L, 1L, 2L, 17L, 3L, 3L, 3L, 18L, 10L, 22L, 12L, 11L, 15L, 
    7L, 19L, 3L, 7L, 8L, 8L, 3L, 20L, 16L, 11L, 6L, 1L, 16L, 
    6L, 14L, 1L, 4L, 9L, 17L, 4L, 16L, 3L, 21L, 10L, 15L, 18L, 
    17L, 1L, 7L, 3L, 8L, 1L, 1L, 1L, 5L, 16L, 12L, 9L, 17L, 22L, 
    16L, 11L, 1L, 8L, 11L, 19L, 5L, 7L, 19L, 5L, 19L, 3L, 11L, 
    16L, 4L, 22L, 3L, 1L, 14L, 8L, 9L, 15L, 20L, 11L, 5L, 22L, 
    3L, 3L, 2L, 17L, 17L, 1L, 17L, 22L, 19L, 3L, 11L, 6L, 16L, 
    19L, 1L, 21L), MapInfo = c(NA, 72282407L, 63814740L, 78609399L, 
    54795171L, 130882559L, 31693437L, 100450087L, 62885043L, 
    31313716L, 73716469L, 86418549L, 6690192L, 74609742L, 63054656L, 
    2331082L, 138960499L, 56292025L, 41284856L, 4720653L, 14982531L, 
    36780252L, 85761834L, 95348426L, 86521579L, 52612028L, 17807964L, 
    30959617L, 16413591L, 90789926L, 6840021L, 100595769L, 85922743L, 
    130068855L, 98537383L, 9334565L, 56260918L, 23318018L, 110555780L, 
    120148806L, 47072565L, 56070777L, 42743390L, 24393906L, 2418782L, 
    102759609L, 25760581L, 29931115L, 51850384L, 1605095L, 19188990L, 
    63597257L, 133602836L, 53641253L, 149220567L, 59297515L, 
    82782402L, 25245343L, 67507194L, 29621827L, 134725393L, 94675035L, 
    68735528L, 137181713L, 17269434L, 65081734L, 52504504L, 68285559L, 
    132529929L, 78608849L, 38087223L, 6322559L, 46406683L, 212843092L, 
    113330782L, 217432608L, 125122098L, 73090775L, 227408702L, 
    86192974L, 40652092L, 48836461L, 15981381L, 49016791L, 43439636L, 
    3524751L, 200527358L, 11987219L, 19619151L, 37301440L, 89868321L, 
    27901015L, 36679395L, 18205322L, 129867789L, 29431309L, 5735184L, 
    228444379L, 27127813L, 12853385L, 30361203L, 6401296L, 19524552L, 
    32460154L, 12853237L, 128883665L, 99872346L, 57030729L, 54031601L, 
    47596131L, 31188508L, 48813064L, 170779856L, 74818329L, 6547419L, 
    88864447L, 121266336L, 49315209L, 43735574L, 67328445L, 25514382L, 
    119173834L, 3434802L, 31806205L, 75072326L, 22423826L, 73889668L, 
    47653843L, 47530480L, 53055722L, 37970781L, 60836921L, 43331627L, 
    127503180L, 4589396L, 95356224L, 73339568L, 1157899L, 20420486L, 
    95592325L, 47530104L, 72486417L, 76210619L, 233604363L, 78857906L, 
    116825023L, 83939264L, 83291515L, 118693355L, 113533514L, 
    44011011L, 70399179L, 199109052L, 43519218L, 86537530L, 20444138L, 
    538243L, 2319928L, 18230698L, 100984693L, 68285365L, 138675693L, 
    3173364L, 45419003L, 114908695L, 85877L, 6634719L, 33290869L, 
    157874388L, 204747781L, 63863108L, 36867966L, 97575044L, 
    158361386L, 32561760L, 22069944L, 55316380L, 56721315L, 9379598L, 
    23597303L, 4720660L, 22043806L, 105873223L, 35811746L, 41835965L, 
    153000182L, 16297122L, 158163821L, 175725486L, 81745233L, 
    88226939L, 7352301L, 84031172L, 39593160L, 36295128L, 35934436L, 
    14930292L, 135190730L, 20636703L, 125731217L, 37502356L, 
    27498514L, 167865836L, 34115725L, 56860207L, 72215430L, 3794271L, 
    6752344L, 62058146L, 38973265L, 177529085L, 132228638L, 51679391L, 
    42368265L, 128875093L, 68934361L, 94124889L, 51991878L, 200528399L, 
    31997771L, 37455712L, 71022680L, 73393227L, 126880923L, 56815646L, 
    51983527L, 149657983L, 19699010L, 17050295L, 170044413L, 
    1534638L, 91979252L, 45042792L, 34083290L, 55777598L, 56882991L, 
    48166074L, 70840057L, 39264046L, 15451532L, 92595354L, 32747186L, 
    67534528L, 144191481L, 26527796L, 45858680L, 2016598L, 74457858L, 
    75813281L, 107719053L, 70367538L, 34652282L, 234624305L, 
    111571814L, 54786297L, 150708005L, 169932037L, 109810631L, 
    13123015L, 127509604L, 242072911L, 201083343L, 71412934L, 
    39210370L, 139636453L, 33814393L, 17574536L, 71059702L, 44828771L, 
    14930699L, 65444453L, 72969183L, 24578943L, 54618088L, 196645869L, 
    120823965L, 42515275L, 120720833L, 153468123L, 56848355L, 
    3433998L, 101723568L, 143423368L, 200191195L, 21920066L, 
    137156206L, 92868062L, 154828571L, 46691021L, 136358896L, 
    71487684L, 82345049L, 716459L, 101462115L, 38955762L, 44775506L, 
    90196840L, 41558077L, 50332768L, 148532935L, 94124891L, 51983578L, 
    124356292L, 43005215L, 36338443L, 31857551L, 138754318L, 
    82736832L, 30740381L, 5440936L, 77825385L, 36401623L, 65421909L, 
    44043999L, 23730622L, 25372488L, 47330784L, 19487814L, 55326503L, 
    95063456L, 61151046L, 134237683L, 63556658L, 185561866L, 
    43858983L, 79829782L, 88146730L, 37878077L, 33113631L, 46906183L, 
    87529619L, 27404857L, 2828508L, 89227671L, 16658314L, 113434374L, 
    57792559L, 18389063L, 38281676L, 123716824L, 11727816L, 39823254L, 
    44047533L, 222368797L, 12862038L, 44828125L, 60321175L, 47492823L, 
    133600862L, 38778415L, 21919905L, 54350725L, 221633332L, 
    32707305L), SourceVersion = c(NA, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 
    36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1, 36.1), TSS_Coordinate = c(NA, 
    72282245L, 63815191L, 78608921L, 54794433L, 130883227L, 31693372L, 
    100450084L, 62885217L, 31313361L, 73716243L, 86418288L, 6690707L, 
    74610040L, 63054091L, 2330595L, 138959534L, 56291485L, NA, 
    4720152L, 14982556L, 36779573L, 85761721L, 95348217L, 86521954L, 
    52612350L, 17807201L, 30959840L, 16413189L, 90789977L, 6840128L, 
    100595572L, 85923547L, 130069400L, 98536661L, 9334696L, 56260179L, 
    23317667L, 110555500L, 120148627L, 47073042L, 56070989L, 
    42743138L, 24394044L, 2419441L, 102759105L, 25760408L, 29931881L, 
    51850863L, 1604902L, 19188762L, 63597095L, 133602746L, 53640874L, 
    149221178L, 59297972L, 82782245L, 25244956L, 67507288L, 29621353L, 
    134725638L, 94674950L, 68735295L, 137182149L, 17270750L, 
    65082006L, 52504299L, NA, 132529802L, 78608921L, 38087371L, 
    6322478L, 46405617L, 212843155L, 113330630L, 217433027L, 
    125121398L, 73090721L, 227409017L, 86194000L, 40652728L, 
    48836321L, 15982143L, 49016626L, 43439012L, 3525522L, 200528285L, 
    11987493L, 19618832L, 37300733L, 89868032L, 27901998L, 36679559L, 
    18205016L, 129868090L, 29432033L, 5735610L, 228444571L, 27128053L, 
    12853236L, 30361486L, 6400601L, 19523560L, 32460535L, 12853335L, 
    128883416L, 99872030L, 57030323L, 54031746L, 47595193L, 31188311L, 
    48813323L, 170779272L, 74818755L, 6547741L, 88864301L, 121266329L, 
    49315321L, 43735634L, 67328696L, 25514153L, 119174948L, 3434836L, 
    31806018L, 75071521L, 22423279L, 73889778L, 47654331L, 47530188L, 
    53055110L, 37970936L, 60836887L, 43331726L, 127501757L, 4589863L, 
    95355572L, 73339012L, 1157508L, 20420071L, 95592061L, 47530188L, 
    72486045L, 76210933L, 233605626L, 78858767L, 116825142L, 
    83938949L, 83291085L, 118693050L, 113532686L, 44010742L, 
    70399579L, 199108789L, 43518298L, 86537710L, 20444125L, 538910L, 
    2320625L, 18230830L, 100985183L, NA, 138676615L, 3172870L, 
